role,title,company,location,stipend,duration,skills_required,description,ppo,source
data-science,artificial intelligence (ai),nayepankh foundation,Work from home,Unpaid,1 Month,"artificial intelligence, chatgpt, claude, gemini","are you passionate about artificial intelligence and looking to gain hands-on experience in the field? we have an exciting opportunity for an ai intern at nayepankh foundation! as an ai intern, you will work closely with our team to develop and implement cutting-edge ai solutions using platforms like chatgpt, claude, and gemini. 



1. assisting in the development of ai algorithms and models
2. conducting research on ai technologies and trends
3. collaborating with team members to integrate ai into various projects
4. testing and optimizing ai applications for performance
5. providing support for ai-related initiatives and programs
6. analyzing data and generating insights to improve ai capabilities
7. staying updated on the latest advancements in the field of ai

if you are a proactive and innovative individual with a strong background in artificial intelligence, we want to hear from you! join us at nayepankh foundation and be part of a dynamic team that is shaping the future with ai technology. apply now to kickstart your career in ai!",Job offer post internship,Internshala
data-science,data analytics,nayepankh foundation,Work from home,Unpaid,1 Month,"html, python, sql, data analytics, ms-excel, data science, power bi","as a data analytics intern at nayepankh foundation, you will have the opportunity to apply your knowledge and skills to make a real impact in the non-profit sector. you will work closely with our team to analyze data, identify trends, and provide insights that will help us better serve our community. 

key responsibilities:
1. collaborate with team members to gather and analyze data from various sources
2. use statistical methods to interpret data and identify patterns and trends
3. develop and maintain data visualizations and dashboards for easy understanding
4. assist in creating reports and presentations to communicate findings to stakeholders
5. help improve data quality and accuracy through data cleaning and validation
6. stay current on industry trends and best practices in data analytics
7. contribute ideas and solutions to help drive organizational growth and impact

if you are a motivated and analytical individual looking to gain hands-on experience in the field of data analytics while making a difference in the community, we invite you to join our team at nayepankh foundation. apply now and be part of our mission to empower and uplift those in need.",Job offer post internship,Internshala
data-science,machine learning,queens of change foundation,Work from home,Unpaid,1 Month,machine learning,"are you a passionate machine learning enthusiast looking to make a difference in the world? join queens of change foundation as a machine learning intern and be a part of our mission to empower women and girls globally through technology!

1. work closely with our team of data scientists to develop and implement machine learning algorithms
2. conduct data analysis and interpretation to drive actionable insights for our programs
3. collaborate with cross-functional teams to optimize and improve existing machine learning models
4. assist in the creation of predictive models to enhance our decision-making processes
5. stay up-to-date with the latest advancements in machine learning and apply them to our projects
6. participate in brainstorming sessions to ideate innovative solutions leveraging ml technologies
7. present findings and recommendations to stakeholders in a clear and concise manner

if you are a self-motivated individual with a strong foundation in machine learning and a desire to create positive change, apply now and be a part of our dynamic team at queens of change foundation!",Job offer post internship,Internshala
data-science,artificial intelligence (ai),basti ki pathshala foundation,Work from home,Unpaid,1 Month,"python, data structures, machine learning, data science, neural networks, english proficiency (spoken), natural language processing (nlp)","as an ai intern at basti ki pathshala foundation, you will have the opportunity to work with cutting-edge technologies such as artificial intelligence, chatgpt, gemini, grok, claude, and machine learning. your role will be crucial in helping us develop innovative solutions to enhance our educational programs and services. 

key responsibilities:
1. assist in designing and implementing ai algorithms to improve learning outcomes for students in underserved communities.
2. collaborate with the team to create chatbots using chatgpt to provide personalized support and assistance to students and teachers.
3. utilize gemini to analyze data and generate insights to drive decision-making and improve program effectiveness.
4. work on developing and optimizing models using grok for natural language processing and understanding.
5. explore the capabilities of claude for image recognition and develop applications for educational purposes.
6. contribute to the development of machine learning models to automate and streamline processes within the organization.
7. stay up-to-date with the latest advancements in ai technologies and bring new ideas to the table to drive innovation and impact. 

join us on this exciting journey to revolutionize education through ai and make a real difference in the lives of students in need. apply now and be part of our mission to empower the next generation!",Job offer post internship,Internshala
data-science,database building/management,baby dino,Work from home,"₹ 1,000 - 2,000 /month",3 Months,"data interpretation, data cleaning, data manipulation","1. generate and extract data from sources.
2. clean them and extrapolate them to make them ready for model training.
3. learn the art of making a perfect dataset.",No PPO Mentioned,Internshala
data-science,artificial intelligence (ai),upperthrust technologies private limited,Pune,"₹ 8,000 - 10,000 /month",2 Months,"javascript, python, machine learning, data science, artificial intelligence","•    support the design, development, and testing of ai/genai use cases and workflow automations. 
•    assist in building and optimizing prompt-based applications, ai assistants, and no-code/low-code automations. 
•    evaluate and integrate ai tools for content generation, research, data processing, knowledge management, and productivity enhancement. 
•    support data collection, cleaning, structuring, and analysis for ai-driven projects. 
•    document workflows, implementation approaches, results, and best practices. 
•    conduct research on emerging ai technologies, tools, and industry trends. 
•    collaborate with different business teams to identify opportunities for automation and ai adoption. 
•    participate in pilot projects and prototype development to validate ai use cases.",No PPO Mentioned,Internshala
data-science,software development,jash data sciences private limited,Pune,"₹ 8,000 - 12,000 /month",6 Months,"python, algorithms, data structures","key responsibilities
1. assist in collecting, cleaning, and analyzing structured and unstructured datasets.
2. support the development, testing, and optimization of machine learning and deep learning models.
3. work on ai projects involving computer vision, natural language processing (nlp), and generative ai under the guidance of mentors.
4. contribute to building ai applications using large language models (llms), prompt engineering techniques, and frameworks such as langchain or llamaindex.
5. create data visualizations and dashboards to present insights effectively.
6. develop and execute sql queries to extract, transform, and analyze data.
7. assist in building and maintaining etl pipelines and data processing workflows.
8. work with databases, cloud platforms, and big data technologies to support data engineering tasks.
9. participate in designing and developing web applications using modern web technologies and frameworks.
10. develop and integrate rest apis for application functionality.
11. write clean, well-documented, and maintainable code while following coding best practices.
12. use git for version control and collaborate effectively with team members.
13. perform testing, debugging, and troubleshooting of applications and data pipelines.
14. participate in code reviews, team discussions, knowledge-sharing sessions, and technical learning activities.
15. stay updated with emerging technologies and contribute innovative ideas to ongoing projects.",Job offer upto ₹ 5LPA post internship,Internshala
data-science,artificial intelligence (ai),rpk agrotech exports private limited,Work from home,"₹ 1,500 - 10,000 /month",6 Months,"python, data structures, react, natural language processing (nlp), typescript, fastapi, llmops","● make the ai smarter. help us improve how our agent understands users — prompts, evaluations, slot extraction, and the data flowing through our llm pipeline. 
● build the dashboards that show what the ai is doing. operator and admin dashboards in react + vite + typescript, backed by python + supabase. 
● investigate when the agent gets a conversation wrong. read the trace, find the root cause across llm, policy, or data layers — propose a fix. 
● sit in on architecture decisions. your opinion will count. we are small enough that what you build today is in production tomorrow.",No PPO Mentioned,Internshala
data-science,machine learning,careernest,Work from home,"₹ 10,000 - 25,000 /month",2 Months,"python, machine learning, data science","we are looking for passionate and curious minds to join our machine learning internship program. you will work closely with our data science team to develop, test, and deploy ml models to solve real-world problems.

 

1. build and optimize machine learning models for classification, regression, clustering, etc.
2. preprocess and clean large datasets for use in model training and evaluation.
3. work with tools such as python, scikit-learn, tensorflow/pytorch, pandas, numpy, etc.
4. assist in developing apis or dashboards to showcase model results.
5. collaborate with cross-functional teams to deploy ml solutions.
6. document and present findings regularly.",No PPO Mentioned,Internshala
data-science,machine learning,qubixo,Work from home,"₹ 10,000 - 20,000 /month",3 Months,"python, data analytics, machine learning, r programming, data science, natural language processing (nlp), deep learning","as a machine learning intern at qubixo, you will have the opportunity to work with cutting-edge technologies and contribute to impactful projects. we are looking for someone who is proficient in python, data analytics, machine learning, r programming, data science, natural language processing (nlp), deep learning, and artificial intelligence. 

selected intern's day-to-day responsibilites include: 

1. collaborating with our team to develop and implement machine learning models
2. conducting research on new algorithms and techniques to improve our existing models
3. analyzing and interpreting complex data sets to extract valuable insights
4. building and testing prototypes to showcase the potential of machine learning applications
5. assisting in the deployment and maintenance of machine learning solutions
6. contributing to the development of new features and enhancements for our products
7. staying up-to-date with the latest trends and advancements in machine learning and artificial intelligence. 

if you are passionate about machine learning and eager to gain hands-on experience in a dynamic environment, this internship is perfect for you. join us at qubixo and take your skills to the next level!",No PPO Mentioned,Internshala
data-science,machine learning,amrata,Work from home,"₹ 10,000 - 20,000 /month",3 Months,"python, data analytics, machine learning, r programming, data science, natural language processing (nlp), deep learning","are you a passionate and driven individual looking to kickstart your career in 'machine learning?' look no further! amrata company is seeking a talented 'machine learning' intern to join our dynamic team. as an intern, you will have the opportunity to work alongside industry experts, gaining hands-on experience in cutting-edge technologies and contributing to innovative projects. 

selected intern's day-to-day responsibilites include: 

1. assist in developing and implementing machine learning models
2. conduct data analysis and provide insights to improve model performance
3. collaborate with cross-functional teams to integrate ml solutions into existing systems
4. research and stay up-to-date on the latest trends and advancements in ml
5. participate in brainstorming sessions to generate new ideas and solutions
6. assist in testing and troubleshooting ml algorithms
7. present findings and recommendations to stakeholders in a clear and concise manner

don't miss out on this exciting opportunity to learn and grow in a supportive and collaborative environment. apply now and take the first step towards a successful career in machine learning with amrata company!",No PPO Mentioned,Internshala
data-science,data analytics,amrata,Work from home,"₹ 10,000 - 20,000 /month",3 Months,"python, sql, data analytics, ms-excel, data science, power bi, tableau","are you a data wizard who thrives on untangling complex datasets and extracting valuable insights? look no further! amrata company is seeking a dynamic data analytics intern to join our team. as a python, sql, excel, data science, power bi, and tableau expert, you will have the opportunity to work on exciting projects and make a real impact on our business.



1. utilize python and sql to clean, manipulate, and analyze large datasets
2. develop data visualizations and dashboards in tableau and power bi to present findings to stakeholders
3. assist in the implementation of predictive models and machine learning algorithms
4. conduct in-depth data analysis to identify trends, patterns, and anomalies
5. collaborate with cross-functional teams to drive data-driven decision-making
6. support data quality assurance processes to ensure accuracy and reliability of data
7. stay up-to-date on the latest trends and technologies in the field of data analytics

if you are a self-motivated individual with a passion for data analytics and a desire to learn and grow in a fast-paced environment, we want to hear from you! join us at amrata company and take your data analytics skills to the next level.",No PPO Mentioned,Internshala
data-science,machine learning,vaibhav wakade,Work from home,"₹ 5,000 - 7,000 /month",6 Months,"python, data analytics, mongodb, machine learning, react native, natural language processing (nlp), deep learning","we are looking for a talented machine learning intern to join our team at vaibhav wakade company! if you have experience with python libraries, llmops, data analytics, nlp, machine learning, mern, mongodb, react native, and deep learning, we want to hear from you. as an intern, you will have the opportunity to work on exciting projects and gain valuable hands-on experience in the field of machine learning. your key responsibilities will include:

1. collaborating with our team to develop and implement machine learning models
2. conducting data analysis and research to support project objectives
3. utilizing nlp techniques to extract insights from text data
4. working with mern stack technologies to build and deploy web applications
5. managing and querying data using mongodb
6. developing mobile applications with react native
7. exploring deep learning algorithms to enhance model performance

if you are passionate about machine learning and eager to learn, apply now to join our dynamic team!",No PPO Mentioned,Internshala
data-science,ai engineer,vega visionary training fze,Work from home,"₹ 13,000 - 17,000 /month",6 Months,"python, github, natural language processing (nlp), database management system (dbms), typescript, artificial intelligence, vector dynamics","1. design and build agent orchestration using langchain — the control loop that lets an llm plan, call tools, observe results, and decide what to do next 
2. choose the right orchestration pattern for the job — single-agent loop, supervisor/subagent, or graph-based multi-step flows 
3. build and maintain rag pipelines backed by vector databases 
4. design, version, and maintain reusable “skills” — scoped, testable capabilities an agent can invoke 
5. build evaluation and observability pipelines using langfuse — tracing runs, scoring outputs, catching regressions 
6. build agent memory systems using mem0 and zep — what gets remembered across sessions and how it's used 
7. build and maintain apis in python to serve agent capabilities to the rest of the product 
8. decide when a task needs human-in-the-loop review versus an automated llm-as-judge score, and build both 
9. put guardrails at the point where the agent actually acts — authorizing tool calls and validating outcomes 
10. debug multi-step and multi-agent failures by tracing runs end-to-end 
11. manage cost/latency/capability tradeoffs across models, routing tasks to the right model for the job 
12. deploy and scale agent systems on gpu infrastructure — capacity, cost, and reliability 
13. maintain a clean, versioned codebase on github with clear commit history and review practices. keep the system maintainable as models, tools, and provider apis change",No PPO Mentioned,Internshala
data-science,data analytics,emoolar technology private limited,Work from home,"₹ 3,000 - 4,000 /month",3 Months,data analytics,"are you passionate about data analytics and looking for a hands-on internship opportunity to apply your skills? emoolar technology private limited is seeking a data analytics intern to join our dynamic team! as a data analytics intern, you will have the opportunity to work on exciting projects that will have a direct impact on the company's success. 

key responsibilities:
1. assist in collecting, cleaning, and analyzing data to gain valuable insights.
2. work closely with the data analytics team to develop and implement data-driven solutions.
3. create visualizations and reports to communicate findings to stakeholders.
4. collaborate with cross-functional teams to identify key business metrics and trends.
5. conduct research on industry best practices and emerging technologies in data analytics.
6. support in the development of algorithms and models to optimize data processes.
7. present findings and recommendations to senior management for strategic decision-making. 

if you are a motivated individual with a strong background in data analytics and a desire to make a meaningful impact, apply now to join emoolar technology private limited as a data analytics intern!",No PPO Mentioned,Internshala
data-science,data analytics,3infotechsolution,Work from home,"₹ 25,000 - 35,000 /month",6 Months,python,"we are seeking a dynamic data analytics intern with proficiency in python to join our team at 3infotechsolution. this is an exciting opportunity to gain hands-on experience in a fast-paced tech company and contribute to real-world projects.

key responsibilities:
1. assist in collecting, cleaning, and analyzing data sets to identify trends and patterns.
2. develop data models and algorithms to optimize processes and improve decision-making.
3. collaborate with cross-functional teams to extract valuable insights from complex data.
4. create visualizations and reports to present findings to stakeholders.
5. support in implementing data-driven solutions to enhance business operations.
6. stay updated on industry trends and best practices in data analytics.
7. contribute to the overall success of the team by taking on ad-hoc tasks and projects as needed.

if you are passionate about data analytics, have a strong understanding of python, and are eager to learn and grow in a collaborative environment, we want to hear from you. apply now to kickstart your career in data analytics with us!",No PPO Mentioned,Internshala
data-science,artificial intelligence (ai),3infotechsolution,Work from home,"₹ 15,000 - 32,000 /month",6 Months,"python, data structures","as an artificial intelligence (ai) intern at 3infotechsolution, you will have the opportunity to work on cutting-edge projects using your expertise in python and data structures. you will be a valuable member of our team, contributing to the development of innovative ai solutions. 

key responsibilities include:
1. collaborating with senior ai developers to design and implement ai algorithms.
2. assisting in the collection and analysis of data to improve ai models.
3. testing and debugging ai systems to ensure accuracy and efficiency.
4. participating in team meetings to discuss project progress and brainstorm new ideas.
5. keeping up-to-date with the latest advancements in ai technology and techniques.
6. documenting and presenting your work to the team for feedback and review.
7. contributing to the overall success of the ai department through your hard work and dedication.

if you are passionate about ai and eager to gain hands-on experience in a dynamic work environment, then this internship is perfect for you. join us at 3infotechsolution and be a part of the future of artificial intelligence. apply now and take the first step towards a rewarding career in ai.",No PPO Mentioned,Internshala
data-science,data annotation,redgenie technologies private limited,Bangalore,"₹ 12,000 /month",3 Months,kannada proficiency (written),"1. precision data annotation: execute high-accuracy annotation tasks to train and refine ai models. you will be responsible for interpreting, labeling, and categorizing data sets to ensure the highest quality of machine learning output.
2. kannada linguistic processing: leverage your native-level proficiency in kannada (reading, writing, and speaking) to ensure cultural and linguistic nuance. you will be the primary expert responsible for validating and creating content that is linguistically authentic and error-free.
3. technical data management: utilize your foundational computer skills to manage, process, and store annotated datasets. you will apply basic english literacy to navigate software interfaces, follow technical guidelines, and maintain consistent documentation across all projects.
4.",No PPO Mentioned,Internshala
data-science,artificial intelligence (ai),queens of change foundation,Work from home,Unpaid,1 Month,"artificial intelligence, chatgpt, grok, deepseek, claude, gemini","as an ai intern at queens of change foundation, you will have the opportunity to work with cutting-edge technologies such as chatgpt, gemini, grok, claude, and deepseek. this is an exciting opportunity to apply your knowledge and skills in artificial intelligence to make a positive impact on our mission.



1. develop and implement ai algorithms to optimize processes and enhance user experience.
2. collaborate with team members to analyze data and provide insights for decision-making.
3. research and stay up-to-date on the latest advancements in ai technology.
4. assist in the development of ai-powered solutions for social impact projects.
5. test and evaluate ai models to ensure accuracy and efficiency.
6. participate in brainstorming sessions to generate innovative ideas for ai applications.
7. present findings and recommendations to stakeholders in a clear and concise manner. 

if you are passionate about using ai for social good and are eager to learn and grow in a dynamic environment, we encourage you to apply for this internship opportunity. join us in making a difference through the power of artificial intelligence!",Job offer post internship,Internshala
data-science,social media analyst,career-domain,Nagpur,"₹ 2,000 - 5,000 /month",6 Months,"ms-excel, effective communication, data analysis","as a social media analyst intern at career-domain company, you will have the opportunity to work closely with our marketing team to analyze and optimize our social media campaigns. your role will involve using your knowledge of effective communication, ms excel, and data analysis to drive our social media strategy forward. 



1. monitor and analyze social media performance metrics to identify trends and insights
2. create reports and presentations to communicate findings to the team
3. collaborate with the marketing team to develop strategies for improving engagement and reach
4. conduct competitive analysis to identify opportunities for growth
5. assist in the creation and scheduling of social media content
6. stay up-to-date with the latest social media trends and best practices
7. help optimize social media advertising campaigns for maximum impact. 

if you are a driven and analytical individual looking to gain hands-on experience in the world of social media marketing, then this internship is perfect for you. join us and take the first step towards a successful career in digital marketing!",No PPO Mentioned,Internshala
data-science,machine learning,interview ghost,Work from home,"₹ 10,000 - 15,000 /month",6 Months,"python, machine learning, docker, natural language processing (nlp), deep learning, artificial intelligence, fastapi","1. build and improve ml/ai features for interview evaluation, resume screening, candidate ranking, and feedback generation.
2. work with llms for prompt engineering, structured outputs, interview report generation, and jd-resume matching.
3. develop nlp pipelines to process resumes, job descriptions, interview transcripts, and candidate responses.
4. support computer vision/video analysis for interview signals such as posture, eye contact, facial expressions, and attention.
5. build and integrate apis using fastapi for ml model and llm workflows.
6. use docker to package, deploy, and run ml services.
7. optimize ai workflows for accuracy, latency, reliability, and cost.
8. collaborate with frontend and backend teams to expose ai insights inside the product.",Job offer upto ₹ 5LPA post internship,Internshala
data-science,survey coordinator,certiwisehub,Work from home,"₹ 3,000 - 5,000 /month",1 Month,"ms-excel, market research, data analysis","1. coordinate survey assignments with participants.
2. track survey completion and maintain response records.
3. verify submitted surveys for completeness and quality.
4. follow project guidelines while managing survey workflows.
5. resolve basic participant queries related to survey completion.
6. prepare daily reports on survey progress and completion rates.",No PPO Mentioned,Internshala
data-science,data analytics,basti ki pathshala foundation,Work from home,Unpaid,1 Month,"html, python, sql, data analytics, ms-excel, data science, power bi","are you a data-savvy individual looking to make a real impact? join us at basti ki pathshala foundation as a data analytics intern! we are a non-profit organization dedicated to providing quality education to underprivileged children in rural india. as a data analytics intern, you will have the opportunity to apply your skills to drive meaningful change and improve the lives of countless children. 

key responsibilities:
1. analyze educational data to identify trends and patterns that can inform decision-making
2. create visualizations and reports to communicate data insights effectively to stakeholders
3. assist in developing predictive models to improve student outcomes
4. collaborate with the team to design and implement data-driven strategies
5. clean and organize data for analysis purposes
6. support in conducting a/b testing and experiments to optimize programs
7. continuously learn and stay updated on the latest trends in data analytics

join us in our mission to transform education and empower the next generation. apply now and be a part of something truly impactful!",Job offer post internship,Internshala
data-science,data analytics,qubixo,Work from home,"₹ 10,000 - 20,000 /month",3 Months,"python, sql, data analytics, ms-excel, data science, power bi, tableau","we are thrilled to announce an exciting opportunity for a data analytics intern at qubixo! if you are proficient in python, sql, data analytics, ms-excel, data science, power bi, and tableau, this position is perfect for you. as a 'data analytics intern' at qubixo, you will have the chance to work on cutting-edge projects and gain invaluable hands-on experience in the field. 

selected intern's day-to-day responsibilites include: 

1. assisting with data collection, cleaning, and analysis using python and sql
2. creating interactive dashboards and reports in power bi and tableau
3. conducting statistical analysis and data visualization to support business decisions
4. collaborating with team members to identify trends and insights within the data
5. assisting with the development and implementation of data-driven strategies
6. presenting findings and recommendations to stakeholders
7. contributing to the overall success of the data analytics team at qubixo

if you are a proactive and detail-oriented individual with a passion for data analytics, we want to hear from you! join us at qubixo and take your skills to the next level. apply now for this amazing opportunity.",No PPO Mentioned,Internshala
data-science,data annotation,daten & wissen private limited,Mira Bhayandar,"₹ 4,500 - 5,000 /month",6 Months,"ms-excel, data entry, data interpretation, data extraction, data cleaning, data manipulation, data annotation","we are looking for a data annotation intern to support our ai/ml projects by labeling and annotating images accurately. this role is ideal for candidates who are detail-oriented and interested in working with data and artificial intelligence.



1. perform image labeling and annotation as per project guidelines
2. ensure accuracy and consistency in annotated data
3. review and correct annotations when required
4. meet daily/weekly annotation targets
5. follow data confidentiality and quality standards",No PPO Mentioned,Internshala
data-science,quant trading,m.g. shares & stocks private limited,Gurgaon,"₹ 17,000 - 28,000 /month",2 Months,"python, algorithms, ms-excel, c programming","1. backtest and develop trading strategies.
2. automate and deploy trading strategies on broker terminals.
3. monitor and evaluate the performance of live trading strategies.
4. maintain and manage structured records of trading strategies.",No PPO Mentioned,Internshala
data-science,e-commerce marketing,advertising saga,Work from home,"₹ 10,000 - 20,000 /month",6 Months,"display ads, effective communication","1. assist in setting up and managing amazon sponsored ads (sponsored products, sponsored brands, and sponsored display)
2. monitor and analyse daily campaign performance (acos, roas, ctr, cpc, etc.)
3. conduct keyword research and competitor analysis
4. help with campaign optimisation strategies, including bid adjustments and budget allocation
5. maintain and update campaign data in dashboards and reports
6. coordinate with internal teams on creative assets and product listings to support ad campaigns.",Job offer upto ₹ 4LPA post internship,Internshala
data-science,founders office (executive assistant & ai),freedom life ventures,Work from home,"₹ 3,000 - 5,000 /month",6 Months,"ms-office, project management, time management, ms-excel, google docs, english proficiency (spoken), english proficiency (written)","1. work directly with the founder to manage daily priorities, schedules, meetings, follow-ups, and execution across multiple business projects.
2. coordinate with video editors, community operations, and other interns to ensure tasks, deadlines, and standard operating procedures (sops) are completed on time.
3. prepare meeting notes, maintain documentation, organize google drive, update google sheets, and create and maintain sops.
4. use ai tools such as chatgpt and claude to conduct research, draft documents, create checklists, and improve operational workflows.
5. track key business metrics, prepare weekly reports, and identify opportunities to improve systems, processes, and operational efficiency.
6. assist in organizing workshops, webinars, online community activities, and other business operations.
7. conduct internet research, coordinate cross-functional projects, and proactively identify opportunities to improve organizational productivity.
8. support the founder in building scalable systems, optimizing business processes, and ensuring smooth execution across multiple business verticals.",No PPO Mentioned,Internshala
data-science,research and development,star sea management pvt ltd,Vashi Navi Mumbai,"₹ 5,000 - 7,000 /month",3 Months,"leadership, lead generation, process management, market research, data analysis","1. conduct research on shipping and maritime industry trends.
2. collect, analyze, and present data for business insights.
3. support process improvement and new project development.
4. prepare research reports and presentations.
5. assist with documentation and cross-functional coordination.",No PPO Mentioned,Internshala
data-science,prompt engineering,baby dino,Work from home,"₹ 1,000 - 2,000 /month",3 Months,english proficiency (written),"1. generate ai-based content and datasets for various business and technology use cases. comprehensive training will be provided.
2. dedicate sufficient time to complete assigned tasks and meet project deadlines.
3. collaborate with the team to learn ai tools, follow project guidelines, and support ongoing content and data generation activities.",No PPO Mentioned,Internshala
data-science,artificial intelligence (ai),baby dino,Work from home,"₹ 1,000 - 5,000 /month",4 Months,"machine learning, natural language processing (nlp), deep learning, artificial intelligence","1. understand, develop, and optimize ai models for various applications.
2. train, evaluate, and improve machine learning models using appropriate datasets and techniques.
3. assist in data preprocessing, model testing, and performance optimization.
4. collaborate with the team to implement ai and machine learning solutions for business requirements.",No PPO Mentioned,Internshala
data-science,ai agent development,"leader bolt (houston, united states)",Work from home,$ 99 - 100 /month,3 Months,"python, json, claude, llmops","1. design, build, deploy, and debug complex, asynchronous, multi-step automation workflows, webhooks, and data pipelines using n8n.
2. engineer ai prompts using claude and claude code to generate advanced json transformations, api expressions, and custom javascript node snippets.
3. integrate and map live data streams between frontend applications and backend platforms such as airtable.
4. build and maintain ai-powered automation solutions using tools such as crewai, langgraph, n8n, softr, and airtable.
5. develop, test, and optimize api integrations to ensure reliable data synchronization across multiple systems.
6. create and maintain custom javascript code, json transformations, and api workflows to support automation processes.
7. troubleshoot, debug, and optimize automation pipelines to improve performance and reliability.
8. collaborate with the team to design scalable enterprise automation workflows and backend architectures.",No PPO Mentioned,Internshala
data-science,frontend developer & artificial intelligence,celer commerce private limited,Work from home,"₹ 6,000 - 12,000 /month",2 Months,"java, html, css, time management, mongodb, angularjs, wireframing","1. develop responsive, visually appealing, and user-friendly web applications using modern frontend technologies.
2. build interactive and dynamic user interfaces using html, css, javascript, react.js, angular, and responsive design frameworks.
3. integrate ai-powered features and apis (such as openai, gemini, or other ai services) into frontend applications to enhance user experience and functionality.
4. collaborate with backend developers, ai engineers, and designers to implement scalable, high-performance solutions.
5. optimize applications for speed, performance, cross-browser compatibility, accessibility, and mobile responsiveness.
6. work with rest apis and modern frontend development tools, version control (git), and package managers.
7. stay updated with the latest frontend frameworks, ai technologies, ui/ux trends, and industry best practices.
8. participate in testing, debugging, code reviews, and continuous improvement of applications.",No PPO Mentioned,Internshala
data-science,data analytics,stay vista private limited,Mumbai,"₹ 5,000 /month",2 Months,ms-excel,"1. assist in data management and maintain accurate business records.
2. prepare and update mis reports using microsoft excel.
3. coordinate with internal teams to support day-to-day business operations.
4. assist in account management and ensure timely follow-ups with stakeholders.
5. analyze operational data and generate reports to support business decisions.
6. maintain documentation and ensure the accuracy of operational information.
7. support process improvements and contribute to operational efficiency.",No PPO Mentioned,Internshala
data-science,video annotator - freelance,indika ai private limited,Work from home,"₹ 1,000 - 5,000 /month",4 Weeks,"attention to detail, data annotation","we are looking for detail-oriented video annotators to contribute to the development of next-generation artificial intelligence and robotics systems. in this role, you will analyze first-person (ego-view) videos and accurately segment and label human hand actions to create high-quality datasets used for training ai models.
if you have excellent observation skills, patience, and the ability to follow detailed annotation guidelines, this is an excellent opportunity to work on cutting-edge ai projects while enjoying a flexible remote work environment.



1. review first-person (ego-view) videos carefully.
2. segment videos into accurate, continuous action intervals with no gaps or overlaps.
3. label each video segment by describing the precise physical action performed by the left hand, right hand, or both hands.
4. ensure timestamp accuracy while identifying action boundaries.
5. differentiate between active work segments and idle periods according to project guidelines.
6. maintain consistency and accuracy throughout the annotation process.
7. follow standard operating procedures (sops) and project-specific annotation guidelines.
8. perform quality checks before submitting completed annotations.
9. report unclear cases or guideline-related questions to the project team.",No PPO Mentioned,Internshala
data-science,machine learning,maxgen technologies private limited,Ahmedabad,"₹ 5,000 - 12,000 /month",3 Months,"machine learning, data science, deep learning, artificial intelligence","we are seeking a highly motivated machine learning intern to join our team at maxgen technologies private limited. if you possess a strong background in machine learning, data science, deep learning, and artificial intelligence, this opportunity is perfect for you.

key responsibilities:
1. assist in the development and implementation of machine learning algorithms.
2. collaborate with the team to analyze data and generate insights.
3. conduct research on the latest advancements in the field of ai.
4. support in the creation of predictive models and data visualizations.
5. work on projects involving natural language processing and computer vision.
6. help in the optimization of existing machine learning models.
7. contribute to the overall growth and success of the company through innovative solutions.

if you are passionate about cutting-edge technologies and eager to gain hands-on experience in the field of machine learning, we encourage you to apply for this exciting opportunity. join us in revolutionizing the future of technology at maxgen technologies private limited.",No PPO Mentioned,Internshala
data-science,ai image creator & graphic design,the funkydelic store,Work from home,"₹ 5,000 - 10,000 /month",6 Months,"adobe photoshop, adobe illustrator, video editing, final cut pro, adobe after effects, canva, adobe photoshop lightroom cc","1. design website banners and homepage creatives regularly for promotions, ad campaigns, or product highlights.
2. create high-quality product images on ai/chatgpt/gemini and visual assets for the website, ensuring brand consistency and alignment with ongoing collections.
3. build promotional visuals for sales, collaborations, and limited-edition drops.
4. turn raw product shoots into scroll-stopping content, add motion graphics, subtitles, transitions & sound design
5.help create product storytelling videos
6. experiment with trends while maintaining brand aesthetic
7. occasionally assist in basic color grading & pacing optimization
8. stay updated on design trends in streetwear, psychedelic art, and youth culture to keep brand visuals fresh and relevant.",No PPO Mentioned,Internshala
data-science,data analytics,she can foundation,Work from home,Unpaid,1 Month,"html, python, sql, data analytics, ms-excel, data science, power bi","are you a data analytics enthusiast looking to make a difference in the world? join she can foundation as a data analytics intern and help us empower women through data-driven insights! as a part of our dynamic team, you will have the opportunity to hone your skills while contributing to meaningful projects that directly impact the lives of women globally. 

key responsibilities:
1. conduct data analysis to generate actionable insights for program improvement
2. develop and maintain data visualizations to effectively communicate findings
3. collaborate with team members to identify key data metrics and kpis
4. assist in data cleaning, validation, and organization for various databases
5. support in creating predictive models and forecasting algorithms
6. present findings and recommendations to stakeholders in a clear and concise manner
7. stay updated on industry trends and best practices in data analytics to enhance our strategies

if you are a proactive and detail-oriented individual with a passion for using data to drive social impact, we want to hear from you! apply now and be a part of our mission to empower women through data analytics.",Job offer post internship,Internshala
